Code guichet,Column1,Code localité,Code commune,GUICHETS ,Comptes courants TPE Nombre,Comptes courants TPE Montant,Comptes courants PME Nombre,Comptes courants PME Montant,Comptes courants GE Nombre,Comptes courants GE Montant,Comptes courants Entrepreneurs individuels Nombre,Comptes courants Entrepreneurs individuels Montant,Comptes courants Total Nombre,Comptes courants Total Montant,Dépôts à terme TPE Nombre,Dépôts à terme TPE Montant,Dépôts à terme PME Nombre,Dépôts à terme PME Montant,Dépôts à terme GE Nombre,Dépôts à terme GE Montant,Dépôts à terme Entrepreneurs individuels Nombre,Dépôts à terme Entrepreneurs individuels Montant,Dépôts à terme Total Nombre,Dépôts à terme Total Montant,Code GPS X,Code GPS Y
0212,,389,,ZAIDA                         ,,,,, 1   , 6   ,,, 1   , 6   ,,,,,,,,,,,-4.958190,32.816006
0213,,391,,MIDELT SOUK EL HAD            ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.7370279,32.6967078
0214,,391,,MIDELT IKHERMJIOUEN           ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.750299,32.674079
0215,,391,,MIDELT MIMLAL                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.748143,32.6895478
0216,,387,,KERROUCHEN                    ,,,,, 2   , 2   ,,, 2   , 2   ,,,,,,,,,,,-5.319875,32.796618
0217,,397,,TOUNFITE                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.250116,32.46535
0218,,396,,ITZER                         ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.051233,32.879191
0219,,395,,BOUMIA                        ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-5.096948,32.726245
0220,,380,,BOUAYACHE                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.439405,32.721409
0221,,224,,AGHBALOU NSERDANE             ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.296022,32.677646
0222,,231,,RICH                          ,,,,, 2   , 1   ,,, 2   , 1   ,,,,,,,,,,,-4.503558,32.25912
0223,,318,,TALSINNT                      ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-3.438807,32.534921
0224,,233,,GOURAMA                       ,,,,, 2   , 1   ,,, 2   , 1   ,,,,,,,,,,,-4.074898,32.338835
0225,,227,,IMILCHIL                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.630927,32.156596
0226,,210,,GUERS TIALLALINE              ,,,,, 1   , 2   ,,, 1   , 2   ,,,,,,,,,,,-4.393206,32.245097
0227,,825,,TEMARRA FATH EL KHEIR         ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.921438,33.910412
0228,,330,,KENITRA OULED OUIJIH          ,,,,, 2   , 3   ,,, 2   , 3   ,,,,,,,,,,,-6.6201317,34.2607013
0229,,810,,KENITRA MAAMOURA              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.5489459,34.241608
0230,,815,,SALE HAY EL AMAL              ,,,,, 3   , 5   ,,, 3   , 5   ,,,,,,,,,,,-6.7923215,34.0685583
0231,,810,,RABAT TECHNOPOLIS             ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.721863,33.992824
0232,,480,,MEKNES BASSATINE              ,,,,, 3   , 15   ,,, 3   , 15   ,,,,,,,,,,,-5.5140692,33.8931227
0233,,491,,SEBT JEHJOUH                  ,,,,, 1   , 1   ,,, 1   , 1   ,,,,,,,,,,,-5.670024,33.717868
0234,,486,,TNINE MHAYA                   ,,,,, 1   , 69   ,,, 1   , 69   ,,,,,,,,,,,-5.242126,33.981073
0238,,480,,TOULAL                        ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-5.5965713,33.8899756
0239,,480,,MEKNES BORJ MY OMAR           ,,,,, 1   , 26   ,,, 1   , 26   ,,,,,,,,,,,-5.529688,33.906519
0240,,480,,MEKNES ZITOUNE                ,,,,, 3   , 113   ,,, 3   , 113   ,,,,,,,,,,,-5.5471892,33.8683655
0241,,480,,MEKNES TAKADOUM               ,,,,, 4   , 271   ,,, 4   , 271   ,,,,,,,,,,,-5.5795339,33.8849012
0242,,480,,OUISLANE EX DOUAR SOUSSI      ,,,,, 2   , 1   ,,, 2   , 1   ,,,,,,,,,,,-5.4896451,33.9113921
0243,,380,,KHENIFRA OUAD ADAHAB          ,,,,, 3   , 144   ,,, 3   , 144   ,,,,,,,,,,,-5.6700075,32.9243296
0244,,140,,BOULEMANE                     ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-4.731637,33.366037
0245,,141,,IMOUZZER MARMOUCHA            ,,,,, 3   , 7   ,,, 3   , 7   ,,,,,,,,,,,-4.294565,33.471216
0248,,140,,AIT HAMZA                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.88772,33.350128
0249,,140,,ENJIL                         ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.632687,33.231015
0250,,703,,GUERCIF                       ,,,,, 3   , 5   ,,, 3   , 5   ,,,,,,,,,,,-3.351134,34.223686
0251,,703,,GUERCIF NOUGD                 ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-3.3547515,34.2329867
0252,,703,,GUERCIF FAR                   ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.363072,34.224961
0253,,707,,SAKA                          ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.414197,34.620725
0254,,704,,BERKINE                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.845958,33.766758
0255,,699,,MEZGUITEM                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.637851,34.500372
0256,,706,,MAHIRIJA                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.277501,33.989906
0257,,705,,HOUARA OULAD RAHHO            ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.584995,34.216405
0258,,288,,IMOUZZER KANDAR               ,,,,, 2   , 2   ,,, 2   , 2   ,,,,,,,,,,,-5.010278,33.728808
0259,,690,,MATMATA                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.550582,34.099305
0260,,711,,TAHALA                        ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-4.425707,34.047595
0261,,712,,BOUZEMLANE                    ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-4.552811,34.010168
0262,,715,,ZERARDA                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.376646,33.975985
0263,,144,,MISSOUR                       ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-3.9889357,33.0471446
0264,,144,,MISSOUR FAR                   ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.018099,33.065453
0265,,146,,OUTAT EL HAJ                  ,,,,, 2   , 1   ,,, 2   , 1   ,,,,,,,,,,,-3.704002,33.344253
0266,,145,,KSABI                         ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.398689,32.830017
0267,,140,,TINDIT                        ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.622272,33.663659
0268,,147,,OULED ALI                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.96939,33.461397
0269,,672,,OURTZARH                      ,,,,, 2   , 1   ,,, 2   , 1   ,,,,,,,,,,,-4.965852,34.535409
0270,,671,,RHAFSAI                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.9142897,34.6314997
0271,,660,,RETBA                         ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.937362,34.777641
0272,,281,,SEFROU                        ,,,,, 1   , 1   ,,, 1   , 1   ,,,,,,,,,,,-4.8389277,33.8260102
0273,,281,,SEFROU SLAOUI                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.831345,33.829909
0274,,281,,SEFROU BAB MEKAM              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.836959,33.832031
0275,,286,,BHALIL                        ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.871197,33.85605
0276,,140,,SKOURA SEGHROUCHEN            ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.544941,33.518962
0277,,281,,TAZOUTA                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.634484,33.667952
0278,,281,,AZZABA                        ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.701971,33.827438
0279,,660,,KHLALFA                       ,,,,, 3   , 33   ,,, 3   , 33   ,,,,,,,,,,,-4.62724,34.672694
0280,,663,,BOUHOUDA                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.55493,34.5910225
0281,,660,,TAOUNATE ASTAR                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.648767,34.549348
0282,,660,,TAOUNATE PPAL                 ,,,,, 3   , 59   ,,, 3   , 59   ,,,,,,,,,,,-4.6383334,34.5373537
0283,,664,,TAHAR SOUK                    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.276232,34.653955
0284,,677,,AIN AICHA                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.689169,34.46145
0285,,662,,BNI OULID                     ,,,,, 1   , 1   ,,, 1   , 1   ,,,,,,,,,,,-4.447599,34.590049
0286,,660,,BNI KORRA                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.579649,34.570099
0287,,661,,AIN MEDIOUNA                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.550644,34.49523
0288,,281,,OULAD MKOUDOU                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.50267,33.809482
0289,,678,,BOUAROUS                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.81081,34.366478
0290,,690,,TAZA PRINCIPAL                ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-4.0073705,34.2219948
0291,,690,,TAZA BIT GHOULAM              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.0025023,34.2242425
0292,,696,,AKNOUL                        ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.865407,34.654771
0293,,690,,TAZA FAR                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.00703,34.219059
0294,,697,,AJDIR                         ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.973875,34.743199
0295,,698,,BOURED                        ,,,,, 1   , 5   ,,, 1   , 5   ,,,,,,,,,,,-4.093823,34.731354
0296,,690,,TAZA HAUT                     ,,,,, 3   , 5   ,,, 3   , 5   ,,,,,,,,,,,-4.0143375,34.2088853
0297,,716,,TAINESTE                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.132268,34.55522
0298,,701,,TIZI OUZLI                    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.794304,34.7625
0299,,690,,HAD MSILA                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.176234,34.425291
0300,,695,,OUED AMLIL                    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.270063,34.190914
0301,,718,,KAHF EL RHAR                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.25952,34.508289
0302,,694,,MEKNASSA ACHARQIA             ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.921497,34.35107
0303,,713,,MERHRAOUA                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.045898,33.931239
0304,,717,,BAB EL MROUJ                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.043768,34.415568
0305,,690,,ARBA BENI FTAH                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.0387791,34.4971357
0306,,693,,BENI LENT                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.206219,34.325839
0307,,692,,SEBT BNI FRASSEN              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.37564,34.378871
0308,,690,,HAD OULAD ZBAIR               ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-4.3211,34.288894
0309,,691,,BAB MERZOUKA                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.14404,34.210862
0310,,690,,TAZA GARE                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.0099025,34.2306316
0311,,360,,KHEMISSET PPL                 ,,,,, 3   , 41   ,,, 3   , 41   ,,,,,,,,,,,-6.065309,33.824435
0312,,360,,KHEMISSET FATH                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.076169,33.8329218
0313,,360,,KHEMISSET ESSAADA             ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.0665024,33.8139637
0314,,360,,KHEMISSET SIDI GHRIB          ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.069732,33.834312
0315,,360,,KHEMISSET AZHAR               ,,,,, 13   , 7   ,,, 13   , 7   ,,,,,,,,,,,-6.0717776,33.8249986
0316,,360,,SFASSIF                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.804303,33.894063
0317,,363,,KHEMIS AIT YADDINE            ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.0138291,33.9753024
0318,,360,,SIDI ALLAL LEMSEDDER          ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.150801,33.872257
0319,,731,,KSAR EL KEBIR PPAL            ,,,,, 2   , 73   ,,, 2   , 73   ,,,,,,,,,,,-5.9074635,34.9979028
0320,,733,,TATOUFET                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.766704,35.034413
0321,,731,,KSAR EL KEBIR HAY ESSALAM     ,,,,, 2   , 7   ,,, 2   , 7   ,,,,,,,,,,,-5.9009993,34.9984114
0322,,735,,LARAHE EL OUAFA               ,,,,, 3   , 9   ,,, 3   , 9   ,,,,,,,,,,,-6.1466789,35.177246
0323,,735,,LARACHE                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.1506365,35.1956598
0324,,643,,ASILAH                        ,,,,, 2   , 1   ,,, 2   , 1   ,,,,,,,,,,,-6.030668,35.4680713
0325,,735,,TLATA RISSANA                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.947461,35.220323
0326,,645,,HAD RHARBIA                   ,,,,, 1   , 1   ,,, 1   , 1   ,,,,,,,,,,,-5.931212,35.515688
0327,,732,,AL AOUAMRA                    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.090803,35.068057
0328,,737,,SEBT BNI GARFET               ,,,,, 1   , 49   ,,, 1   , 49   ,,,,,,,,,,,-5.8366182,35.2556795
0329,,738,,KHEMIS SAHEL                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.0799644,35.2551079
0330,,646,,TNINE SIDI YAMANI             ,,,,, 1   , 20   ,,, 1   , 20   ,,,,,,,,,,,-5.972692,35.36953
0331,,644,,DAR CHAOUI                    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.717925,35.530528
0332,,341,,OUEZZANE                      ,,,,, 4   , 9   ,,, 4   , 9   ,,,,,,,,,,,-5.578088,34.79742
0333,,341,,OUEZZANE ROUIDA               ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.5756259,34.793506
0334,,341,,OUEZZANE RMEL                 ,,,,, 1   , 17   ,,, 1   , 17   ,,,,,,,,,,,-5.5844477,34.798213
0335,,345,,TEROUAL                       ,,,,, 2   , 2   ,,, 2   , 2   ,,,,,,,,,,,-5.272764,34.675416
0336,,344,,SIDI REDOUANE                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.448511,34.685289
0337,,346,,AIN DORIJ                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.289788,34.613528
0338,,368,,ROMMANI                       ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-6.6047681,33.5272422
0339,,372,,SIDI BETTACHE                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.894948,33.567748
0340,,373,,ZHILIGA                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.544359,33.295212
0341,,369,,HAD BRACHOUA                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.631982,33.693946
0342,,360,,AIN SBIT                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.520171,33.556318
0343,,346,,SIDI KACEM                    ,,,,, 3   , 15   ,,, 3   , 15   ,,,,,,,,,,,-5.708929,34.2240607
0344,,346,,SIDI KACEM CHLIHAT            ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.735604,34.238839
0345,,335,,KHENICHET                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.685366,34.43896
0346,,346,,SIDI KACEM ZAOUIA             ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.711067,34.204923
0347,,349,,SIDI SLIMANE                  ,,,,, 6   , 8   ,,, 6   , 8   ,,,,,,,,,,,-5.9253592,34.2621976
0348,,349,,SIDI SLIMANE HAY AL MASJID    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.929409,34.258901
0349,,349,,SIDI SLIMANE OULAD EL GHAZI   ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.922808,34.259429
0350,,349,,SIDI SLIMANE 5EME BAFRA       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.0572326,34.2349026
0351,,352,,DAR BEL AMRI                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.969398,34.188622
0352,,353,,SOUK LARBAA HAY ESSALAM       ,,,,, 1   , 1   ,,, 1   , 1   ,,,,,,,,,,,-5.992237,34.67587
0353,,331,,MLY BOUSSELHAM                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.281476,34.878789
0354,,353,,SOUK LARBâA DU GHARB          ,,,,, 7   , 9   ,,, 7   , 9   ,,,,,,,,,,,-6.0040739,34.6850835
0355,,354,,ARBAOUA                       ,,,,, 1   , 17   ,,, 1   , 17   ,,,,,,,,,,,-5.924284,34.91018
0356,,333,,HAD KOURT                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.734136,34.616957
0357,,336,,MECHRâA BELKSIRI              ,,,,, 1   , 80   ,,, 1   , 80   ,,,,,,,,,,,-5.9540815,34.576848
0358,,356,,LALLA MIMOUNA                 ,,,,, 1   , 46   ,,, 1   , 46   ,,,,,,,,,,,-6.070223,34.847771
0359,,851,,JORF EL MELHA                 ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-5.5085103,34.4876652
0360,,359,,SOUK TLETA EL GHARB           ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.136237,34.618903
0361,,343,,SIDI BOUSBER                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.361151,34.564056
0362,,334,,AIN DEFFALI                   ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-5.552409,34.595684
0363,,360,,SEBT AIT IKKOU                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.136423,33.67041
0364,,374,,TIFLET MEDINA                 ,,,,, 3   , 0   ,,, 3   , 0   ,,,,,,,,,,,-6.3116509,33.8933443
0365,,365,,OULMES                        ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.006354,33.422269
0366,,367,,TIDDAS                        ,,,,, 8   , 324   ,,, 8   , 324   ,,,,,,,,,,,-6.267491,33.568088
0367,,366,,MAAZIZ                        ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-6.319043,33.667483
0368,,375,,SIDI ABDERAZAK                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.1626,33.962438
0369,,376,,SIDI ALLAL EL BAHRAOUI        ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.5331665,34.0108348
0370,,374,,TIFLET PPAL                   ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-6.3239166,33.8933598
0371,,640,,TANGER 20 AOUT                ,,,,, 1   , 12   ,,, 1   , 12   ,,,,,,,,,,,-5.8210856,35.7701761
0372,,647,,KSAR SGHIR                    ,,,,, 1   , 1   ,,, 1   , 1   ,,,,,,,,,,,-5.557934,35.840595
0373,,640,,TANGER PPAL                   ,,,,, 48   ," 4,687   ",,, 48   ," 4,687   ",,,,,,,,,,,-5.806961,35.778219
0374,,640,,TANGER AL IRFANE              ,,,,, 3   , 25   ,,, 3   , 25   ,,,,,,,,,,,-5.881784,35.7326049
0375,,640,,TANGER EL OUAFAE              ,,,,, 3   , 2   ,,, 3   , 2   ,,,,,,,,,,,-5.8466042,35.7496905
0376,,640,,TANGER BNI MAKADA             ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.8127761,35.760539
0383,,640,,TANGER SOUANI                 ,,,,, 1   , 4   ,,, 1   , 4   ,,,,,,,,,,,-5.8155281,35.7677952
0384,,640,,TANGER DRISSIA                ,,,,, 8   ," 2,618   ",,, 8   ," 2,618   ",,,,,,,,,,,-5.802032,35.760034
0385,,640,,TANGER MSALLAH                ,,,,, 4   , 19   ,,, 4   , 19   ,,,,,,,,,,,-5.8152652,35.7809478
0386,,649,,MELLOUSSA                     ,,,,, 1   , 3   ,,, 1   , 3   ,,,,,,,,,,,-5.632038,35.735995
0387,,640,,TANGER DRADEB                 ,,,,, 7   , 29   ,,, 7   , 29   ,,,,,,,,,,,-5.8290035,35.7856368
0388,,640,,TANGER VAL FLEURI             ,,,,, 6   , 36   ,,, 6   , 36   ,,,,,,,,,,,-5.8311921,35.7776272
0389,,640,,TANGER AL MAJD                ,,,,, 2   , 122   ,,, 2   , 122   ,,,,,,,,,,,-5.7977665,35.7455849
0390,,648,,GZENAYA                       ,,,,, 6   , 44   ,,, 6   , 44   ,,,,,,,,,,,-5.90594,35.707438
0391,,575,,BERKANE PPAL                  ,,,,, 2   , 31   ,,, 2   , 31   ,,,,,,,,,,,-2.3314311,34.9271874
0392,,575,,BERKANE BOUHDILA              ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-2.338876,34.928511
0393,,575,,BERKANE EL GRABA              ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-2.323415,34.920282
0394,,579,,SAIDIA                        ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.226403,35.08594
0395,,579,,SAIDIA MARINA                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.293525,35.10936
0396,,581,,TAFOGHALT                     ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-2.40989,34.809569
0397,,577,,AKLIM                         ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-2.518409,34.891209
0398,,580,,MADAGH                        ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.338908,35.010212
0399,,575,,SIDI BOUHOURIA                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.360322,34.738447
0400,,582,,HASSI BLAL                    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.206187,34.308108
0401,,575,,AIN REGADA                    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.2329391,34.9341436
0402,,570,,OUJDA ER-RIAD                 ,,,,, 4   , 110   ,,, 4   , 110   ,,,,,,,,,,,-1.9036228,34.6800348
0403,,572,,SIDI YAHIA DOUJDA             ,,,,, 2   , 175   ,,, 2   , 175   ,,,,,,,,,,,-1.867633,34.667325
0404,,312,,BOUARFA                       ,,,,, 2   , 11   ,,, 2   , 11   ,,,,,,,,,,,-1.958584,32.537341
0405,,312,,BOUARFA HAY TOBA              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.964182,32.534015
0406,,313,,TENDRARA                      ,,,,, 1   , 1   ,,, 1   , 1   ,,,,,,,,,,,-2.0029852,33.0521649
0407,,316,,BOUANANE                      ,,,,, 3   , 3   ,,, 3   , 3   ,,,,,,,,,,,-3.049234,32.037996
0408,,310,,AIN CHOUATER                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.963755,31.848321
0409,,570,,NAIMA                         ,,,,, 1   , 7   ,,, 1   , 7   ,,,,,,,,,,,-2.2190238,34.605387
0410,,570,,OUJDA OUED ENNACHEF           ,,,,, 1   , 16   ,,, 1   , 16   ,,,,,,,,,,,-1.9281408,34.674988
0411,,570,,OUJDA TAKKADOUM               ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-1.916795,34.697204
0412,,570,,EL BESSARA                    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.244703,34.710192
0413,,575,,BERKANE EL OUIDADIYA          ,,,,, 1   , 4   ,,, 1   , 4   ,,,,,,,,,,,-2.3154867,34.9163452
0414,,570,,OUJDA ISLY                    ,,,,, 4   , 220   ,,, 4   , 220   ,,,,,,,,,,,-1.9190643,34.688642
0415,,310,,FIGUIG                        ,,,,, 1   , 1   ,,, 1   , 1   ,,,,,,,,,,,-1.2287388,32.1098006
0416,,310,,FIGUIG ZENAGA                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.2355838,32.098145
0417,,310,,FIGUIG HAUTS KSOURS           ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.2184444,32.120068
0418,,570,,OUJDA ESSAADA                 ,,,,, 1   , -     ,,, 1   , -     ,,,,,,,,,,,-1.887213,34.6784853
0419,,570,,OUJDA NAHDA                   ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.93869,34.6817023
0420,,500,,NADOR OULAD MIMOUNE           ,,,,, 6   , 3   ,,, 6   , 3   ,,,,,,,,,,,-2.935952,35.167915
0421,,521,,HASSI BERKANE                 ,,,,, 1   , 4   ,,, 1   , 4   ,,,,,,,,,,,-2.87672,34.838633
0422,,518,,RAS EL MA                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.42373,35.138183
0423,,520,,KARIAT ARKMANE                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.740228,35.103038
0424,,512,,SELOUANE                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.942741,35.068043
0425,,500,,TLETA JBEL                    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.047635,35.183689
0426,,500,,NADOR                         ,,,,, 9   , 158   ,,, 9   , 158   ,,,,,,,,,,,-2.9251179,35.1761234
0427,,500,,NADOR FAR                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.9255605,35.1298946
0428,,519,,ZAIO                          ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.7340964,34.9416496
0429,,507,,SEGANGAN                      ,,,,, 2   , 3   ,,, 2   , 3   ,,,,,,,,,,,-3.002411,35.154635
0430,,528,,TAFERSITE                     ,,,,, 1   , -     ,,, 1   , -     ,,,,,,,,,,,-3.54125,35.007099
0431,,523,,BEN TIB                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.452545,35.045194
0432,,501,,DRIOUCH                       ,,,,, 2   , 15   ,,, 2   , 15   ,,,,,,,,,,,-3.39207,34.979624
0433,,503,,DAR KEBDANI                   ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.335367,35.118612
0434,,524,,MIDAR                         ,,,,, 1   , 5   ,,, 1   , 5   ,,,,,,,,,,,-3.533847,34.943517
0435,,515,,MONTE ARRUI                   ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-3.000138,35.01122
0436,,515,,MONTE ARUI AL MASSIRA         ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-3.006416,35.01118
