Code guichet,Column1,Code localité,Code commune,GUICHETS ,Comptes chèques Nombre,Comptes chèques Montant,Comptes d'épargne Nombre,Comptes d'épargne  Montant,Dépôts à terme  Nombre,Dépôts à terme  Montant,Autres comptes Nombre,Autres comptes Montant, Total des comptes Nombre,Total des comptes Montant,Code GPS X,Code GPS Y
0176,,810,,RABAT GUICH LOUDAYA           ," 2,178   "," 27,216   "," 2,169   "," 30,349   ", -     , -     ,,," 4,347   "," 57,566   ",-6.88662,33.9383499
0177,,420,,IFRANE                        ," 4,089   "," 16,452   "," 6,259   "," 22,946   ", -     , -     ,,," 10,348   "," 39,399   ",-5.1078111,33.5288521
0178,,420,,IFRANE AL AKHAWAYN UNIVERSITY , 22   , 261   , 245   ," 1,083   ", -     , -     ,,, 267   ," 1,343   ",-5.106293,33.539597
0179,,420,,SOUK EL HAD OUED IFRANE       , 365   ," 1,701   "," 1,161   "," 8,685   ", -     , -     ,,," 1,526   "," 10,386   ",-5.489742,33.29464
0180,,825,,TEMARRA HAY MAGHRIB EL ARABI  ," 2,350   "," 16,468   "," 3,448   "," 33,356   ", -     , -     ,,," 5,798   "," 49,824   ",-6.8896991,33.9202287
0181,,825,,TEMARA MOULAY ALI CHERIF      ," 2,322   "," 15,370   "," 2,475   "," 26,246   ", -     , -     ,,," 4,797   "," 41,616   ",-6.9059292,33.9324828
0182,,815,,SALE HSSAINE                  ," 2,591   "," 19,171   "," 3,283   "," 26,614   ", 1   , 500   ,,," 5,875   "," 46,285   ",-6.7636997,34.0181627
0183,,815,,SALE HAY KARIMA               ," 4,017   "," 26,883   "," 4,852   "," 46,662   ", 1   , 19   ,,," 8,870   "," 73,563   ",-6.7946014,34.0543327
0184,,330,,KENITRA KHABBAZATE            ," 5,010   "," 17,496   "," 4,914   "," 32,917   ", 1   , 14   ,,," 9,925   "," 50,426   ",-6.5697894,34.2632373
0185,,330,,KENITRA TAIBIA                ," 1,726   "," 15,310   "," 2,182   "," 17,569   ", -     , -     ,,," 3,908   "," 32,879   ",-6.5992923,34.2726379
0186,,810,,RABAT KAMRA                   ," 3,151   "," 17,209   "," 2,949   "," 31,635   ", 1   , 350   ,,," 6,101   "," 49,194   ",-6.8738687,33.9909689
0187,,380,,KHENIFRA AMALOU IGHRIBEN      ," 3,791   "," 15,278   "," 9,062   "," 33,988   ", -     , -     ,,," 12,853   "," 49,266   ",-5.6563712,32.9373013
0188,,380,,KHENIFRA PRINCIPAL            ," 8,766   "," 48,410   "," 16,427   "," 68,583   ", 1   , 24   ,,," 25,194   "," 117,016   ",-5.6715954,32.935138
0189,,380,,KHENIFRA BOUFOULOUSSEN        , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-5.6786791,32.9439373
0190,,386,,AIT ISHAK                     ," 1,454   "," 8,347   "," 4,453   "," 30,509   ", -     , -     ,,," 5,907   "," 38,856   ",-5.726217,32.764673
0191,,385,,EL KEBAB                      ," 1,645   "," 9,726   "," 2,863   "," 12,555   ", 1   , 27   ,,," 4,509   "," 22,308   ",-5.52401,32.741813
0192,,381,,AGUELMUS                      ," 1,140   "," 5,394   "," 4,295   "," 23,540   ", -     , -     ,,," 5,435   "," 28,933   ",-5.844335,33.158546
0193,,382,,KAF NSOUR                     , 228   , 343   ," 1,483   "," 6,204   ", -     , -     ,,," 1,711   "," 6,547   ",-5.960928,32.912725
0194,,380,,TIGHASSALINE                  ," 1,082   "," 4,895   "," 2,785   "," 14,391   ", 2   , 100   ,,," 3,869   "," 19,386   ",-5.656862,32.782404
0195,,380,,SIDI YAHYA OU SAAD            , 435   ," 1,933   ", 744   ," 3,806   ", -     , -     ,,," 1,179   "," 5,740   ",-5.575513,32.681703
0196,,380,,SOUK HAD BOUHSOUSSEN          , 342   ," 1,487   "," 1,229   "," 8,878   ", -     , -     ,,," 1,571   "," 10,364   ",-6.076217,33.147235
0197,,380,,OUAOUMANA                     , 446   ," 2,662   "," 3,078   "," 16,770   ", -     , -     ,,," 3,524   "," 19,432   ",-5.809316,32.709347
0198,,561,,TILOUINE                      , 407   ," 2,885   "," 1,023   "," 4,954   ", -     , -     ,,," 1,430   "," 7,839   ",-4.798614,31.640478
0199,,210,,ERRACHIDIA PRINCIPAL          ," 22,909   "," 107,438   "," 18,956   "," 60,450   ", 4   , 731   ,,," 41,869   "," 168,619   ",-4.4252104,31.9331753
0200,,210,,P.A.FAR ERRACHIDIA            ," 1,097   "," 5,331   ", 261   ," 1,422   ", -     , -     ,,," 1,358   "," 6,752   ",-4.431331,31.927735
0201,,210,,ERRACHIDIA OULED EL HAJ       , 846   ," 5,430   "," 1,025   "," 3,736   ", 1   , 14   ,,," 1,872   "," 9,180   ",-4.4046968,31.9364463
0202,,212,,BOUDENIB                      ," 3,182   "," 23,483   "," 3,378   "," 11,391   ", -     , -     ,,," 6,560   "," 34,874   ",-3.603698,31.948184
0203,,223,,GOULMIMA                      ," 3,552   "," 35,274   "," 5,565   "," 28,036   ", -     , -     ,,," 9,117   "," 63,310   ",-4.954472,31.690632
0204,,315,,BENI TAJJITE                  ," 1,752   "," 18,298   "," 2,283   "," 12,019   ", -     , -     ,,," 4,035   "," 30,317   ",-3.467978,32.293008
0205,,226,,TINEJEDAD                     ," 4,472   "," 43,150   "," 5,333   "," 25,184   ", 1   , 18   ,,," 9,806   "," 68,352   ",-5.029775,31.510373
0206,,215,,ASSOUL                        , 258   ," 2,336   ", 752   ," 3,014   ", -     , -     ,,," 1,010   "," 5,350   ",-5.207951,31.948735
0207,,210,,ERRACHIDIA BOUTALAMINE        ," 10,361   "," 70,223   "," 9,267   "," 45,452   ", -     , -     ,,," 19,628   "," 115,676   ",-4.4395548,31.9199992
0208,,210,,TADIGHOUST                    , 451   ," 2,239   "," 1,278   "," 4,076   ", -     , -     ,,," 1,729   "," 6,315   ",-4.960017,31.819199
0209,,225,,MELLAB                        , 564   ," 3,365   "," 1,095   "," 5,985   ", -     , -     ,,," 1,659   "," 9,350   ",-4.851915,31.54661
0210,,321,,ASRIR OUED FERKLA             ," 1,039   "," 6,661   "," 1,519   "," 7,112   ", -     , -     ,,," 2,558   "," 13,773   ",-5.067433,31.500094
0211,,391,,MIDELT                        ," 8,860   "," 58,550   "," 11,908   "," 59,916   ", -     , -     ,,," 20,768   "," 118,466   ",-4.7394177,32.6783414
0212,,389,,ZAIDA                         , 923   ," 4,017   ", 918   ," 6,611   ", -     , -     ,,," 1,841   "," 10,628   ",-4.958190,32.816006
0213,,391,,MIDELT SOUK EL HAD            , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-4.7370279,32.6967078
0214,,391,,MIDELT IKHERMJIOUEN           , 624   ," 3,015   "," 1,285   "," 9,079   ", -     , -     ,,," 1,909   "," 12,094   ",-4.750299,32.674079
0215,,391,,MIDELT MIMLAL                 , 739   ," 2,707   "," 1,701   "," 7,181   ", -     , -     ,,," 2,440   "," 9,889   ",-4.748143,32.6895478
0216,,387,,KERROUCHEN                    , 281   ," 1,555   ", 636   ," 1,757   ", -     , -     ,,, 917   ," 3,313   ",-5.319875,32.796618
0217,,397,,TOUNFITE                      ," 1,774   "," 8,388   "," 1,509   "," 7,559   ", -     , -     ,,," 3,283   "," 15,947   ",-5.250116,32.46535
0218,,396,,ITZER                         ," 1,301   "," 9,242   "," 2,466   "," 13,285   ", -     , -     ,,," 3,767   "," 22,528   ",-5.051233,32.879191
0219,,395,,BOUMIA                        ," 1,181   "," 6,972   "," 2,455   "," 10,430   ", -     , -     ,,," 3,636   "," 17,402   ",-5.096948,32.726245
0220,,380,,BOUAYACHE                     , 20   , 340   , 290   ," 2,310   ", -     , -     ,,, 310   ," 2,650   ",-4.439405,32.721409
0221,,224,,AGHBALOU NSERDANE             , 310   , 978   , 830   ," 4,416   ", -     , -     ,,," 1,140   "," 5,394   ",-5.296022,32.677646
0222,,231,,RICH                          ," 6,032   "," 55,060   "," 7,857   "," 48,860   ", 1   , 290   ,,," 13,890   "," 104,210   ",-4.503558,32.25912
0223,,318,,TALSINNT                      ," 1,688   "," 9,841   "," 1,858   "," 6,452   ", -     , -     ,,," 3,546   "," 16,293   ",-3.438807,32.534921
0224,,233,,GOURAMA                       ," 1,681   "," 13,204   "," 2,433   "," 17,308   ", -     , -     ,,," 4,114   "," 30,512   ",-4.074898,32.338835
0225,,227,,IMILCHIL                      , 826   ," 3,258   ", 576   ," 5,764   ", -     , -     ,,," 1,402   "," 9,022   ",-5.630927,32.156596
0226,,210,,GUERS TIALLALINE              , 612   ," 2,667   "," 1,031   "," 5,356   ", -     , -     ,,," 1,643   "," 8,024   ",-4.393206,32.245097
0227,,825,,TEMARRA FATH EL KHEIR         ," 2,226   "," 23,024   "," 2,899   "," 26,527   ", -     , -     ,,," 5,125   "," 49,551   ",-6.921438,33.910412
0228,,330,,KENITRA OULED OUIJIH          ," 4,489   "," 21,047   "," 5,182   "," 39,491   ", -     , -     ,,," 9,671   "," 60,538   ",-6.6201317,34.2607013
0229,,810,,KENITRA MAAMOURA              ," 2,580   "," 13,684   "," 3,810   "," 25,460   ", 1   , 130   ,,," 6,391   "," 39,274   ",-6.5489459,34.241608
0230,,815,,SALE HAY EL AMAL              ," 3,250   "," 25,635   "," 4,421   "," 46,769   ", -     , -     ,,," 7,671   "," 72,404   ",-6.7923215,34.0685583
0231,,810,,RABAT TECHNOPOLIS             , 90   , 484   , 220   , 450   , -     , -     ,,, 310   , 934   ,-6.721863,33.992824
0232,,480,,MEKNES BASSATINE              ," 2,547   "," 19,874   "," 5,652   "," 28,808   ", 1   , 80   ,,," 8,200   "," 48,762   ",-5.5140692,33.8931227
0233,,491,,SEBT JEHJOUH                  , 527   ," 3,331   "," 2,246   "," 21,036   ", -     , -     ,,," 2,773   "," 24,367   ",-5.670024,33.717868
0234,,486,,TNINE MHAYA                   ," 1,135   "," 6,931   "," 2,828   "," 16,712   ", 2   , 130   ,,," 3,965   "," 23,773   ",-5.242126,33.981073
0235,,480,,NZALATE BNI AMAR              , 331   ," 1,470   ", 817   ," 6,047   ", -     , -     ,,," 1,148   "," 7,516   ",-5.430572,34.122839
0236,,480,,MEKNES OUJEH AROUSS           ," 16,939   "," 33,508   "," 14,673   "," 85,640   ", 1   , 70   ,,," 31,613   "," 119,218   ",-5.5775035,33.9016373
0237,,480,,MEKNES AL WIFAK               ," 2,009   "," 24,559   "," 2,541   "," 36,178   ", -     , -     ,,," 4,550   "," 60,737   ",-5.5806926,33.8975076
0238,,480,,TOULAL                        ," 2,046   "," 18,005   "," 4,541   "," 25,206   ", -     , -     ,,," 6,587   "," 43,211   ",-5.5965713,33.8899756
0239,,480,,MEKNES BORJ MY OMAR           ," 4,998   "," 31,941   "," 15,317   "," 109,947   ", 1   , 20   ,,," 20,316   "," 141,908   ",-5.529688,33.906519
0240,,480,,MEKNES ZITOUNE                ," 9,230   "," 44,781   "," 10,551   "," 57,437   ", 1   , 10   ,,," 19,782   "," 102,229   ",-5.5471892,33.8683655
0241,,480,,MEKNES TAKADOUM               ," 1,975   "," 15,598   "," 3,567   "," 28,861   ", 1   , 200   ,,," 5,543   "," 44,659   ",-5.5795339,33.8849012
0242,,480,,OUISLANE EX DOUAR SOUSSI      ," 4,922   "," 32,663   "," 9,242   "," 62,524   ", 3   , 45   ,,," 14,167   "," 95,231   ",-5.4896451,33.9113921
0243,,380,,KHENIFRA OUAD ADAHAB          ," 1,535   "," 8,290   "," 1,701   "," 9,393   ", 6   ," 1,444   ",,," 3,242   "," 19,127   ",-5.6700075,32.9243296
0244,,140,,BOULEMANE                     ," 1,499   "," 8,423   "," 2,257   "," 8,482   ", 1   , 43   ,,," 3,757   "," 16,948   ",-4.731637,33.366037
0245,,141,,IMOUZZER MARMOUCHA            ," 1,699   "," 11,038   "," 2,656   "," 20,461   ", -     , -     ,,," 4,355   "," 31,499   ",-4.294565,33.471216
0246,,140,,EL MERS                       , 82   , 246   , 736   ," 4,258   ", -     , -     ,,, 818   ," 4,504   ",-4.448546,33.444452
0247,,140,,ALMIS GUIGOU                  , 979   ," 7,979   "," 3,238   "," 18,805   ", -     , -     ,,," 4,217   "," 26,784   ",-4.829714,33.382917
0248,,140,,AIT HAMZA                     , 61   , 509   , 526   ," 2,418   ", -     , -     ,,, 587   ," 2,928   ",-4.88772,33.350128
0249,,140,,ENJIL                         , 211   , 842   , 876   ," 2,758   ", -     , -     ,,," 1,087   "," 3,599   ",-4.632687,33.231015
0250,,703,,GUERCIF                       ," 10,312   "," 65,531   "," 12,922   "," 82,029   ", -     , -     ,,," 23,234   "," 147,560   ",-3.351134,34.223686
0251,,703,,GUERCIF NOUGD                 , 654   ," 5,398   ", 388   ," 4,054   ", -     , -     ,,," 1,042   "," 9,451   ",-3.3547515,34.2329867
0252,,703,,GUERCIF FAR                   , 673   ," 3,738   ", -     , -     , -     , -     ,,, 673   ," 3,738   ",-3.363072,34.224961
0253,,707,,SAKA                          , 315   ," 2,529   "," 1,168   "," 7,832   ", -     , -     ,,," 1,483   "," 10,361   ",-3.414197,34.620725
0254,,704,,BERKINE                       , 53   , 118   , 411   ," 1,869   ", -     , -     ,,, 464   ," 1,986   ",-3.845958,33.766758
0255,,699,,MEZGUITEM                     , 247   ," 2,139   ", 842   ," 7,878   ", -     , -     ,,," 1,089   "," 10,017   ",-3.637851,34.500372
0256,,706,,MAHIRIJA                      , 562   ," 1,921   ", 911   ," 6,147   ", -     , -     ,,," 1,473   "," 8,068   ",-3.277501,33.989906
0257,,705,,HOUARA OULAD RAHHO            , 650   ," 4,185   ", 732   ," 4,911   ", -     , -     ,,," 1,382   "," 9,095   ",-3.584995,34.216405
0258,,288,,IMOUZZER KANDAR               ," 2,730   "," 16,660   "," 10,920   "," 71,358   ", 1   , 370   ,,," 13,651   "," 88,387   ",-5.010278,33.728808
0259,,690,,MATMATA                       , 905   ," 6,078   "," 2,158   "," 13,549   ", -     , -     ,,," 3,063   "," 19,627   ",-4.550582,34.099305
0260,,711,,TAHALA                        ," 4,579   "," 27,420   "," 6,627   "," 36,528   ", 2   , 65   ,,," 11,208   "," 64,014   ",-4.425707,34.047595
0261,,712,,BOUZEMLANE                    , 452   ," 2,276   ", 709   ," 4,712   ", -     , -     ,,," 1,161   "," 6,988   ",-4.552811,34.010168
0262,,715,,ZERARDA                       ," 1,203   "," 6,402   "," 2,687   "," 19,374   ", 2   , 195   ,,," 3,892   "," 25,971   ",-4.376646,33.975985
0263,,144,,MISSOUR                       ," 4,197   "," 33,247   "," 4,934   "," 35,326   ", 2   , 160   ,,," 9,133   "," 68,733   ",-3.9889357,33.0471446
0264,,144,,MISSOUR FAR                   , 40   , 344   , -     , -     , -     , -     ,,, 40   , 344   ,-4.018099,33.065453
0265,,146,,OUTAT EL HAJ                  ," 3,367   "," 24,314   "," 3,684   "," 24,140   ", -     , -     ,,," 7,051   "," 48,454   ",-3.704002,33.344253
0266,,145,,KSABI                         , 517   ," 1,689   ", 991   ," 2,151   ", -     , -     ,,," 1,508   "," 3,840   ",-4.398689,32.830017
0267,,140,,TINDIT                        , 816   ," 5,153   "," 2,794   "," 19,098   ", -     , -     ,,," 3,610   "," 24,250   ",-3.622272,33.663659
0268,,147,,OULED ALI                     , 40   , 74   , 122   , 579   , -     , -     ,,, 162   , 653   ,-3.96939,33.461397
0269,,672,,OURTZARH                      , 984   ," 8,094   "," 1,327   "," 16,470   ", -     , -     ,,," 2,311   "," 24,563   ",-4.965852,34.535409
0270,,671,,RHAFSAI                       ," 2,655   "," 21,027   "," 4,324   "," 25,601   ", -     , -     ,,," 6,979   "," 46,628   ",-4.9142897,34.6314997
0271,,660,,RETBA                         , 347   ," 2,102   ", 768   ," 9,400   ", -     , -     ,,," 1,115   "," 11,503   ",-4.937362,34.777641
0274,,281,,SEFROU BAB MEKAM              ," 1,259   "," 9,309   "," 3,025   "," 24,401   ", -     , -     ,,," 4,284   "," 33,710   ",-4.836959,33.832031
0275,,286,,BHALIL                        ," 1,104   "," 10,969   "," 4,926   "," 28,453   ", -     , -     ,,," 6,030   "," 39,421   ",-4.871197,33.85605
0276,,140,,SKOURA SEGHROUCHEN            , 642   ," 3,563   "," 2,222   "," 16,632   ", -     , -     ,,," 2,864   "," 20,195   ",-4.544941,33.518962
0277,,281,,TAZOUTA                       , 337   ," 2,070   ", 780   ," 5,367   ", -     , -     ,,," 1,117   "," 7,437   ",-4.634484,33.667952
0278,,281,,AZZABA                        , 300   ," 1,338   ", 799   ," 3,916   ", -     , -     ,,," 1,099   "," 5,254   ",-4.701971,33.827438
0279,,660,,KHLALFA                       , 359   ," 2,598   "," 1,412   "," 8,850   ", -     , -     ,,," 1,771   "," 11,448   ",-4.62724,34.672694
0280,,663,,BOUHOUDA                      , 574   ," 4,406   "," 1,484   "," 16,428   ", -     , -     ,,," 2,058   "," 20,834   ",-4.55493,34.5910225
0281,,660,,TAOUNATE ASTAR                , 764   ," 6,071   "," 2,113   "," 17,861   ", 2   , 90   ,,," 2,879   "," 24,021   ",-4.648767,34.549348
0282,,660,,TAOUNATE PPAL                 ," 7,176   "," 61,721   "," 14,175   "," 107,133   ", 2   , 265   ,,," 21,353   "," 169,118   ",-4.6383334,34.5373537
0283,,664,,TAHAR SOUK                    , 630   ," 6,084   "," 5,785   "," 58,237   ", -     , -     ,,," 6,415   "," 64,321   ",-4.276232,34.653955
0284,,677,,AIN AICHA                     ," 1,481   "," 8,032   "," 2,706   "," 15,506   ", -     , -     ,,," 4,187   "," 23,538   ",-4.689169,34.46145
0285,,662,,BNI OULID                     , 487   ," 4,399   "," 1,103   "," 8,245   ", -     , -     ,,," 1,590   "," 12,645   ",-4.447599,34.590049
0286,,660,,BNI KORRA                     , 348   ," 1,859   ", 754   ," 5,047   ", -     , -     ,,," 1,102   "," 6,906   ",-4.579649,34.570099
0287,,661,,AIN MEDIOUNA                  , 518   ," 3,535   "," 1,017   "," 8,401   ", -     , -     ,,," 1,535   "," 11,936   ",-4.550644,34.49523
0288,,281,,OULAD MKOUDOU                 , 191   , 885   , 608   ," 3,737   ", -     , -     ,,, 799   ," 4,622   ",-4.50267,33.809482
0289,,678,,BOUAROUS                      , 99   , 493   , 316   , 809   , -     , -     ,,, 415   ," 1,302   ",-4.81081,34.366478
0290,,690,,TAZA PRINCIPAL                ," 16,471   "," 65,224   "," 17,150   "," 116,441   ", 4   , 170   ,,," 33,625   "," 181,835   ",-4.0073705,34.2219948
0291,,690,,TAZA BIT GHOULAM              , 514   ," 2,829   ", 178   ," 1,596   ", -     , -     ,,, 692   ," 4,425   ",-4.0025023,34.2242425
0292,,696,,AKNOUL                        , 705   ," 6,568   "," 2,563   "," 24,050   ", -     , -     ,,," 3,268   "," 30,618   ",-3.865407,34.654771
0293,,690,,TAZA FAR                      , 422   ," 1,462   ", -     , -     , -     , -     ,,, 422   ," 1,462   ",-4.00703,34.219059
0294,,697,,AJDIR                         , 432   ," 2,179   "," 1,227   "," 8,973   ", -     , -     ,,," 1,659   "," 11,152   ",-3.973875,34.743199
0295,,698,,BOURED                        , 304   ," 1,644   "," 1,592   "," 18,798   ", -     , -     ,,," 1,896   "," 20,442   ",-4.093823,34.731354
0296,,690,,TAZA HAUT                     ," 3,923   "," 33,384   "," 7,699   "," 60,911   ", 1   , 20   ,,," 11,623   "," 94,316   ",-4.0143375,34.2088853
0297,,716,,TAINESTE                      , 218   ," 2,110   ", 728   ," 5,672   ", -     , -     ,,, 946   ," 7,782   ",-4.132268,34.55522
0298,,701,,TIZI OUZLI                    , 618   ," 4,122   "," 1,374   "," 14,543   ", -     , -     ,,," 1,992   "," 18,665   ",-3.794304,34.7625
0299,,690,,HAD MSILA                     , 231   , 908   , 624   ," 4,255   ", -     , -     ,,, 855   ," 5,164   ",-4.176234,34.425291
0300,,695,,OUED AMLIL                    ," 1,781   "," 12,584   "," 3,856   "," 29,237   ", -     , -     ,,," 5,637   "," 41,822   ",-4.270063,34.190914
0301,,718,,KAHF EL RHAR                  , 202   ," 1,785   ", 433   ," 3,083   ", -     , -     ,,, 635   ," 4,868   ",-4.25952,34.508289
0302,,694,,MEKNASSA ACHARQIA             , 42   , 89   , 246   ," 1,255   ", -     , -     ,,, 288   ," 1,344   ",-3.921497,34.35107
0303,,713,,MERHRAOUA                     , 65   , 455   , 282   ," 2,241   ", -     , -     ,,, 347   ," 2,697   ",-4.045898,33.931239
0304,,717,,BAB EL MROUJ                  , 118   , 324   , 328   ," 1,692   ", -     , -     ,,, 446   ," 2,016   ",-4.043768,34.415568
0305,,690,,ARBA BENI FTAH                , 57   , 428   , 462   ," 4,246   ", -     , -     ,,, 519   ," 4,674   ",-4.0387791,34.4971357
0306,,693,,BENI LENT                     , 168   ," 1,663   ", 615   ," 3,034   ", -     , -     ,,, 783   ," 4,697   ",-4.206219,34.325839
0307,,692,,SEBT BNI FRASSEN              , 271   ," 1,816   "," 1,558   "," 13,134   ", -     , -     ,,," 1,829   "," 14,950   ",-4.37564,34.378871
0308,,690,,HAD OULAD ZBAIR               ," 1,173   "," 7,956   "," 3,130   "," 33,492   ", 2   , 280   ,,," 4,305   "," 41,728   ",-4.3211,34.288894
0309,,691,,BAB MERZOUKA                  , 734   ," 4,811   "," 1,500   "," 11,436   ", -     , -     ,,," 2,234   "," 16,247   ",-4.14404,34.210862
0310,,690,,TAZA GARE                     ," 4,824   "," 31,200   "," 8,719   "," 65,258   ", 3   , 400   ,,," 13,546   "," 96,858   ",-4.0099025,34.2306316
0311,,360,,KHEMISSET PPL                 ," 7,494   "," 42,776   "," 15,139   "," 84,472   ", -     , -     ,,," 22,633   "," 127,248   ",-6.065309,33.824435
0312,,360,,KHEMISSET FATH                ," 1,756   "," 6,098   "," 2,953   "," 21,133   ", -     , -     ,,," 4,709   "," 27,232   ",-6.076169,33.8329218
0313,,360,,KHEMISSET ESSAADA             , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-6.0665024,33.8139637
0314,,360,,KHEMISSET SIDI GHRIB          , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-6.069732,33.834312
0315,,360,,KHEMISSET AZHAR               ," 7,645   "," 35,201   "," 14,119   "," 91,615   ", -     , -     ,,," 21,764   "," 126,817   ",-6.0717776,33.8249986
0316,,360,,SFASSIF                       , 427   ," 1,655   "," 1,533   "," 6,478   ", -     , -     ,,," 1,960   "," 8,133   ",-5.804303,33.894063
0317,,363,,KHEMIS AIT YADDINE            ," 1,292   "," 6,280   "," 3,081   "," 25,450   ", -     , -     ,,," 4,373   "," 31,730   ",-6.0138291,33.9753024
0318,,360,,SIDI ALLAL LEMSEDDER          , 127   , 447   , 758   ," 6,542   ", -     , -     ,,, 885   ," 6,989   ",-6.150801,33.872257
0319,,731,,KSAR EL KEBIR PPAL            ," 8,537   "," 60,901   "," 14,411   "," 94,885   ", 3   , 350   ,,," 22,951   "," 156,136   ",-5.9074635,34.9979028
0320,,733,,TATOUFET                      , 267   , 973   , 656   ," 2,706   ", -     , -     ,,, 923   ," 3,679   ",-5.766704,35.034413
0321,,731,,KSAR EL KEBIR HAY ESSALAM     ," 2,841   "," 16,667   "," 7,142   "," 47,911   ", -     , -     ,,," 9,983   "," 64,579   ",-5.9009993,34.9984114
0322,,735,,LARAHE EL OUAFA               ," 2,196   "," 14,884   "," 5,017   "," 31,483   ", 1   , 60   ,,," 7,214   "," 46,427   ",-6.1466789,35.177246
0323,,735,,LARACHE                       ," 12,459   "," 46,753   "," 18,449   "," 107,990   ", 1   , 140   ,,," 30,909   "," 154,883   ",-6.1506365,35.1956598
0324,,643,,ASILAH                        ," 2,636   "," 19,612   "," 5,877   "," 35,224   ", 1   , 10   ,,," 8,514   "," 54,846   ",-6.030668,35.4680713
0325,,735,,TLATA RISSANA                 ," 1,036   "," 2,379   "," 1,408   "," 8,615   ", -     , -     ,,," 2,444   "," 10,993   ",-5.947461,35.220323
0326,,645,,HAD RHARBIA                   , 789   ," 4,829   "," 1,091   "," 8,130   ", -     , -     ,,," 1,880   "," 12,959   ",-5.931212,35.515688
0327,,732,,AL AOUAMRA                    ," 3,077   "," 5,277   "," 3,233   "," 14,155   ", -     , -     ,,," 6,310   "," 19,432   ",-6.090803,35.068057
0328,,737,,SEBT BNI GARFET               , 257   ," 5,639   ", 529   ," 6,275   ", 1   , 120   ,,, 787   ," 12,034   ",-5.8366182,35.2556795
0329,,738,,KHEMIS SAHEL                  , 541   ," 2,674   "," 1,249   "," 14,286   ", -     , -     ,,," 1,790   "," 16,960   ",-6.0799644,35.2551079
0330,,646,,TNINE SIDI YAMANI             , 701   ," 5,059   ", 992   ," 10,680   ", -     , -     ,,," 1,693   "," 15,739   ",-5.972692,35.36953
0331,,644,,DAR CHAOUI                    , 422   ," 2,967   ", 880   ," 3,282   ", -     , -     ,,," 1,302   "," 6,249   ",-5.717925,35.530528
0332,,341,,OUEZZANE                      ," 10,579   "," 60,543   "," 16,767   "," 105,661   ", -     , -     ,,," 27,346   "," 166,204   ",-5.578088,34.79742
0333,,341,,OUEZZANE ROUIDA               , 186   , 997   ," 1,773   "," 4,952   ", -     , -     ,,," 1,959   "," 5,949   ",-5.5756259,34.793506
0334,,341,,OUEZZANE RMEL                 ," 1,171   "," 5,464   "," 2,164   "," 13,238   ", -     , -     ,,," 3,335   "," 18,702   ",-5.5844477,34.798213
0335,,345,,TEROUAL                       , 579   ," 4,055   "," 1,925   "," 10,579   ", -     , -     ,,," 2,504   "," 14,634   ",-5.272764,34.675416
0336,,344,,SIDI REDOUANE                 , 853   ," 5,113   "," 1,856   "," 15,604   ", -     , -     ,,," 2,709   "," 20,717   ",-5.448511,34.685289
0337,,346,,AIN DORIJ                     ," 1,183   "," 8,454   ", 707   ," 7,408   ", -     , -     ,,," 1,890   "," 15,862   ",-5.289788,34.613528
0338,,368,,ROMMANI                       ," 2,162   "," 11,402   "," 5,864   "," 41,716   ", 1   , 20   ,,," 8,027   "," 53,138   ",-6.6047681,33.5272422
0339,,372,,SIDI BETTACHE                 , 506   ," 2,912   "," 1,843   "," 17,112   ", -     , -     ,,," 2,349   "," 20,025   ",-6.894948,33.567748
0340,,373,,ZHILIGA                       , 638   ," 1,252   "," 1,540   "," 11,181   ", -     , -     ,,," 2,178   "," 12,434   ",-6.544359,33.295212
0341,,369,,HAD BRACHOUA                  , 768   ," 2,160   "," 1,334   "," 11,916   ", -     , -     ,,," 2,102   "," 14,076   ",-6.631982,33.693946
0342,,360,,AIN SBIT                      , 211   , 405   ," 2,048   "," 20,356   ", -     , -     ,,," 2,259   "," 20,760   ",-6.520171,33.556318
0343,,346,,SIDI KACEM                    ," 8,178   "," 42,069   "," 14,542   "," 82,795   ", -     , -     ,,," 22,720   "," 124,864   ",-5.708929,34.2240607
0344,,346,,SIDI KACEM CHLIHAT            , -     , -     , 97   , 25   , -     , -     ,,, 97   , 25   ,-5.735604,34.238839
0345,,335,,KHENICHET                     ," 1,741   "," 7,615   "," 4,612   "," 33,939   ", -     , -     ,,," 6,353   "," 41,555   ",-5.685366,34.43896
0346,,346,,SIDI KACEM ZAOUIA             , 520   ," 2,054   "," 1,865   "," 11,430   ", -     , -     ,,," 2,385   "," 13,485   ",-5.711067,34.204923
0347,,349,,SIDI SLIMANE                  ," 8,568   "," 31,880   "," 11,613   "," 57,624   ", -     , -     ,,," 20,181   "," 89,504   ",-5.9253592,34.2621976
0352,,353,,SOUK LARBAA HAY ESSALAM       , 969   ," 3,844   "," 3,034   "," 17,253   ", -     , -     ,,," 4,003   "," 21,097   ",-5.992237,34.67587
0353,,331,,MLY BOUSSELHAM                ," 1,328   "," 5,796   "," 2,396   "," 12,158   ", 1   , 30   ,,," 3,725   "," 17,984   ",-6.281476,34.878789
